Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-lh65,branch-z4p6,Randomise questionnaire elements?,Question Key,Response
1,1664271870639,27/09/2022 09:44:30,1664271870568,1,27/09/2022 10:44:30,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664271888460,27/09/2022 09:44:48,1664271888432,1,27/09/2022 10:44:48,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,response-1,shoe
3,1664271888539,27/09/2022 09:44:48,1664271888433,1,27/09/2022 10:44:48,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,response-1-quantised,2
4,1664271888539,27/09/2022 09:44:48,1664271888433,1,27/09/2022 10:44:48,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,response-2,Watch
5,1664271888539,27/09/2022 09:44:48,1664271888433,1,27/09/2022 10:44:48,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,response-2-quantised,1
6,1664271888539,27/09/2022 09:44:48,1664271888433,1,27/09/2022 10:44:48,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,response-3,no
7,1664271888539,27/09/2022 09:44:48,1664271888433,1,27/09/2022 10:44:48,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,response-3-quantised,2
8,1664271888539,27/09/2022 09:44:48,1664271888433,1,27/09/2022 10:44:48,95307,26,questionnaire-44j4,,24265783,613296df1951f8c0c5aabd6e,7157876,,complete,,6332c39c0bda1217a8a928e9,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 105.0.0.0,2560x1440,2438x1205,,final questionnaire,1,continue,continue,No,END QUESTIONNAIRE,17865
1,1664271916681,27/09/2022 09:45:16,1664271916351,2,27/09/2022 11:45:16,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,BEGIN QUESTIONNAIRE,
2,1664272027880,27/09/2022 09:47:07,1664272027563,2,27/09/2022 11:47:07,95307,26,questionnaire-44j4,,24265789,5e809adbe290bc770a0f6450,7157897,,complete,,6332c3e2125e29f1c3ee395a,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1920x1080,1920x979,,final questionnaire,1,continue,continue,No,response-1,shoe
